id;codMaquina;ordemProducao;dataHora;distancia;folhas;data
1;maq001;OP00123;2025-06-13 21:52:44;2.0;0;2025-06-13
2;maq001;OP00123;2025-06-13 21:52:45;2.0;0;2025-06-13
3;maq001;OP00123;2025-06-13 21:52:45;2.0;0;2025-06-13
4;maq001;OP00123;2025-06-13 21:52:46;2.0;0;2025-06-13
5;maq001;OP00123;2025-06-13 21:52:46;2.0;0;2025-06-13
6;maq001;OP00123;2025-06-13 21:52:47;2.0;0;2025-06-13
7;maq001;OP00123;2025-06-13 21:52:47;2.0;0;2025-06-13
8;maq001;OP00123;2025-06-13 21:52:48;2.0;0;2025-06-13
9;maq001;OP00123;2025-06-13 21:52:48;2.0;0;2025-06-13
10;maq001;OP00123;2025-06-13 21:52:49;2.0;0;2025-06-13
11;maq001;OP00123;2025-06-13 21:52:49;2.0;0;2025-06-13
12;maq001;OP00123;2025-06-13 21:52:50;2.0;0;2025-06-13
13;maq001;OP00123;2025-06-13 21:52:50;2.0;0;2025-06-13
14;maq001;OP00123;2025-06-13 21:52:51;2.0;0;2025-06-13
15;maq001;OP00123;2025-06-13 21:52:51;2.0;0;2025-06-13
16;maq001;OP00123;2025-06-13 21:52:52;2.0;0;2025-06-13
17;maq001;OP00123;2025-06-13 21:52:52;2.0;0;2025-06-13
18;maq001;OP00123;2025-06-13 21:52:53;2.0;0;2025-06-13
19;maq001;OP00123;2025-06-13 21:52:53;2.0;0;2025-06-13
20;maq001;OP00123;2025-06-13 21:52:54;53.0;0;2025-06-13
21;maq001;OP00123;2025-06-13 21:52:54;194.0;0;2025-06-13
22;maq001;OP00123;2025-06-13 21:52:55;340.9;0;2025-06-13
23;maq001;OP00123;2025-06-13 21:52:55;397.9;0;2025-06-13
24;maq001;OP00123;2025-06-13 21:52:56;278.0;0;2025-06-13
25;maq001;OP00123;2025-06-13 21:52:56;119.9;0;2025-06-13
26;maq001;OP00123;2025-06-13 21:52:57;46.0;0;2025-06-13
27;maq001;OP00123;2025-06-13 21:52:57;2.0;1;2025-06-13
28;maq001;OP00123;2025-06-13 21:52:58;74.0;1;2025-06-13
29;maq001;OP00123;2025-06-13 21:52:58;169.0;1;2025-06-13
30;maq001;OP00123;2025-06-13 21:52:59;340.9;1;2025-06-13
31;maq001;OP00123;2025-06-13 21:52:59;399.9;1;2025-06-13
32;maq001;OP00123;2025-06-13 21:53:00;275.0;1;2025-06-13
33;maq001;OP00123;2025-06-13 21:53:00;150.9;1;2025-06-13
34;maq001;OP00123;2025-06-13 21:53:01;84.0;1;2025-06-13
35;maq001;OP00123;2025-06-13 21:53:01;28.0;1;2025-06-13
36;maq001;OP00123;2025-06-13 21:53:02;2.0;2;2025-06-13
37;maq001;OP00123;2025-06-13 21:53:02;91.0;2;2025-06-13
38;maq001;OP00123;2025-06-13 21:53:03;253.0;2;2025-06-13
39;maq001;OP00123;2025-06-13 21:53:03;351.9;2;2025-06-13
40;maq001;OP00123;2025-06-13 21:53:04;376.9;2;2025-06-13
41;maq001;OP00123;2025-06-13 21:53:05;208.0;2;2025-06-13
42;maq001;OP00123;2025-06-13 21:53:05;101.9;2;2025-06-13
43;maq001;OP00123;2025-06-13 21:53:06;2.0;3;2025-06-13
44;maq001;OP00123;2025-06-13 21:53:06;3.0;3;2025-06-13
45;maq001;OP00123;2025-06-13 21:53:07;127.0;3;2025-06-13
46;maq001;OP00123;2025-06-13 21:53:07;267.0;3;2025-06-13
47;maq001;OP00123;2025-06-13 21:53:08;359.0;3;2025-06-13
48;maq001;OP00123;2025-06-13 21:53:08;399.9;3;2025-06-13
49;maq001;OP00123;2025-06-13 21:53:09;348.0;3;2025-06-13
50;maq001;OP00123;2025-06-13 21:53:09;229.0;3;2025-06-13
51;maq001;OP00123;2025-06-13 21:53:10;113.1;3;2025-06-13
52;maq001;OP00123;2025-06-13 21:53:10;60.0;3;2025-06-13
53;maq001;OP00123;2025-06-13 21:53:11;2.0;4;2025-06-13
54;maq001;OP00123;2025-06-13 21:53:11;127.0;4;2025-06-13
55;maq001;OP00123;2025-06-13 21:53:12;259.9;4;2025-06-13
56;maq001;OP00123;2025-06-13 21:53:12;340.9;4;2025-06-13
57;maq001;OP00123;2025-06-13 21:53:13;399.9;4;2025-06-13
58;maq001;OP00123;2025-06-13 21:53:13;399.9;4;2025-06-13
59;maq001;OP00123;2025-06-13 21:53:14;399.9;4;2025-06-13
60;maq001;OP00123;2025-06-13 21:53:14;397.9;4;2025-06-13
61;maq001;OP00123;2025-06-13 21:53:15;319.9;4;2025-06-13
62;maq001;OP00123;2025-06-13 21:53:15;222.0;4;2025-06-13
63;maq001;OP00123;2025-06-13 21:53:16;140.9;4;2025-06-13
64;maq001;OP00123;2025-06-13 21:53:16;21.0;4;2025-06-13
65;maq001;OP00123;2025-06-13 21:53:17;56.0;4;2025-06-13
66;maq001;OP00123;2025-06-13 21:53:17;137.0;4;2025-06-13
67;maq001;OP00123;2025-06-13 21:53:18;196.9;4;2025-06-13
68;maq001;OP00123;2025-06-13 21:53:18;296.0;4;2025-06-13
69;maq001;OP00123;2025-06-13 21:53:19;399.9;4;2025-06-13
70;maq001;OP00123;2025-06-13 21:53:19;399.9;4;2025-06-13
71;maq001;OP00123;2025-06-13 21:53:20;390.9;4;2025-06-13
72;maq001;OP00123;2025-06-13 21:53:20;288.9;4;2025-06-13
73;maq001;OP00123;2025-06-13 21:53:21;137.0;4;2025-06-13
74;maq001;OP00123;2025-06-13 21:53:22;14.0;4;2025-06-13
75;maq001;OP00123;2025-06-13 21:53:22;2.0;5;2025-06-13
76;maq001;OP00123;2025-06-13 21:53:23;46.0;5;2025-06-13
77;maq001;OP00123;2025-06-13 21:53:23;127.0;5;2025-06-13
78;maq001;OP00123;2025-06-13 21:53:24;351.9;5;2025-06-13
79;maq001;OP00123;2025-06-13 21:53:24;400.0;5;2025-06-13
80;maq001;OP00123;2025-06-13 21:53:25;399.9;5;2025-06-13
81;maq001;OP00123;2025-06-13 21:53:25;267.0;5;2025-06-13
82;maq001;OP00123;2025-06-13 21:53:26;77.0;5;2025-06-13
83;maq001;OP00123;2025-06-13 21:53:26;2.0;6;2025-06-13
84;maq001;OP00123;2025-06-13 21:53:27;2.0;6;2025-06-13
85;maq001;OP00123;2025-06-13 21:53:27;2.0;6;2025-06-13
86;maq001;OP00123;2025-06-13 21:53:28;2.0;6;2025-06-13
87;maq001;OP00123;2025-06-13 21:53:28;218.0;6;2025-06-13
88;maq001;OP00123;2025-06-13 21:53:29;399.9;6;2025-06-13
89;maq001;OP00123;2025-06-13 21:53:29;400.0;6;2025-06-13
90;maq001;OP00123;2025-06-13 21:53:30;399.9;6;2025-06-13
91;maq001;OP00123;2025-06-13 21:53:30;144.0;6;2025-06-13
92;maq001;OP00123;2025-06-13 21:53:31;2.0;7;2025-06-13
93;maq001;OP00123;2025-06-13 21:53:31;2.0;7;2025-06-13
94;maq001;OP00123;2025-06-13 21:53:32;218.0;7;2025-06-13
95;maq001;OP00123;2025-06-13 21:53:32;309.9;7;2025-06-13
96;maq001;OP00123;2025-06-13 21:53:33;400.0;7;2025-06-13
97;maq001;OP00123;2025-06-13 21:53:33;399.9;7;2025-06-13
98;maq001;OP00123;2025-06-13 21:53:34;296.0;7;2025-06-13
99;maq001;OP00123;2025-06-13 21:53:34;130.0;7;2025-06-13
100;maq001;OP00123;2025-06-13 21:53:35;39.0;7;2025-06-13
101;maq001;OP00123;2025-06-13 21:53:35;2.0;8;2025-06-13
102;maq001;OP00123;2025-06-13 21:53:36;2.0;8;2025-06-13
103;maq001;OP00123;2025-06-13 22:54:29;387.0;0;2025-06-13
104;maq001;OP00123;2025-06-13 22:54:30;386.9;0;2025-06-13
105;maq001;OP00123;2025-06-13 22:54:30;386.9;0;2025-06-13
106;maq001;OP00123;2025-06-13 22:54:31;386.9;0;2025-06-13
107;maq001;OP00123;2025-06-13 22:54:31;386.9;0;2025-06-13
108;maq001;OP00123;2025-06-13 22:54:32;386.9;0;2025-06-13
109;maq001;OP00123;2025-06-13 22:54:32;386.9;0;2025-06-13
110;maq001;OP00123;2025-06-13 22:54:33;386.9;0;2025-06-13
111;maq001;OP00123;2025-06-13 22:54:33;386.9;0;2025-06-13
112;maq001;OP00123;2025-06-13 22:54:34;386.9;0;2025-06-13
113;maq001;OP00123;2025-06-13 22:54:34;386.9;0;2025-06-13
114;maq001;OP00123;2025-06-13 22:54:35;386.9;0;2025-06-13
115;maq001;OP00123;2025-06-13 22:54:35;384.0;0;2025-06-13
116;maq001;OP00123;2025-06-13 22:54:36;66.9;0;2025-06-13
117;maq001;OP00123;2025-06-13 22:54:36;2.0;1;2025-06-13
118;maq001;OP00123;2025-06-13 22:54:37;113.1;1;2025-06-13
119;maq001;OP00123;2025-06-13 22:54:37;282.0;1;2025-06-13
120;maq001;OP00123;2025-06-13 22:54:38;399.9;1;2025-06-13
121;maq001;OP00123;2025-06-13 22:54:38;313.0;1;2025-06-13
122;maq001;OP00123;2025-06-13 22:54:39;77.0;1;2025-06-13
123;maq001;OP00123;2025-06-13 22:54:39;2.0;2;2025-06-13
124;maq001;OP00123;2025-06-13 22:54:40;133.9;2;2025-06-13
125;maq001;OP00123;2025-06-13 22:54:40;305.9;2;2025-06-13
126;maq001;OP00123;2025-06-13 22:54:41;393.9;2;2025-06-13
127;maq001;OP00123;2025-06-13 22:54:41;275.0;2;2025-06-13
128;maq001;OP00123;2025-06-13 22:54:42;108.9;2;2025-06-13
129;maq001;OP00123;2025-06-13 22:54:42;2.0;3;2025-06-13
130;maq001;OP00123;2025-06-13 22:54:43;183.0;3;2025-06-13
131;maq001;OP00123;2025-06-13 22:54:44;362.9;3;2025-06-13
132;maq001;OP00123;2025-06-13 22:54:44;399.9;3;2025-06-13
133;maq001;OP00123;2025-06-13 22:54:45;229.0;3;2025-06-13
134;maq001;OP00123;2025-06-13 22:54:45;81.0;3;2025-06-13
135;maq001;OP00123;2025-06-13 22:54:46;2.0;4;2025-06-13
136;maq001;OP00123;2025-06-13 22:54:46;208.0;4;2025-06-13
137;maq001;OP00123;2025-06-13 22:54:47;362.9;4;2025-06-13
138;maq001;OP00123;2025-06-13 22:54:47;326.9;4;2025-06-13
139;maq001;OP00123;2025-06-13 22:54:48;185.9;4;2025-06-13
140;maq001;OP00123;2025-06-13 22:54:48;17.0;4;2025-06-13
141;maq001;OP00123;2025-06-13 22:54:49;161.9;4;2025-06-13
142;maq001;OP00123;2025-06-13 22:54:49;344.9;4;2025-06-13
143;maq001;OP00123;2025-06-13 22:54:50;399.9;4;2025-06-13
144;maq001;OP00123;2025-06-13 22:54:50;196.9;4;2025-06-13
145;maq001;OP00123;2025-06-13 22:54:51;2.0;5;2025-06-13
146;maq001;OP00123;2025-06-13 22:54:51;87.9;5;2025-06-13
147;maq001;OP00123;2025-06-13 22:54:52;282.0;5;2025-06-13
148;maq001;OP00123;2025-06-13 22:54:52;386.9;5;2025-06-13
149;maq001;OP00123;2025-06-13 22:54:53;185.9;5;2025-06-13
150;maq001;OP00123;2025-06-13 22:54:53;2.0;6;2025-06-13
151;maq001;OP00123;2025-06-13 22:54:54;2.0;6;2025-06-13
152;maq001;OP00123;2025-06-13 22:56:24;2.0;0;2025-06-13
153;maq001;OP00123;2025-06-13 22:56:25;2.0;0;2025-06-13
154;maq001;OP00123;2025-06-13 22:56:25;2.0;0;2025-06-13
155;maq001;OP00123;2025-06-13 22:56:26;2.0;0;2025-06-13
156;maq001;OP00123;2025-06-13 22:56:26;2.0;0;2025-06-13
157;maq001;OP00123;2025-06-13 22:56:27;2.0;0;2025-06-13
158;maq001;OP00123;2025-06-13 22:56:27;17.0;0;2025-06-13
159;maq001;OP00123;2025-06-13 22:56:28;148.0;0;2025-06-13
160;maq001;OP00123;2025-06-13 22:56:28;399.9;0;2025-06-13
161;maq001;OP00123;2025-06-13 22:56:29;399.9;0;2025-06-13
162;maq001;OP00123;2025-06-13 22:56:30;383.9;0;2025-06-13
163;maq001;OP00123;2025-06-13 22:56:30;313.0;0;2025-06-13
164;maq001;OP00123;2025-06-13 22:56:31;165.0;0;2025-06-13
165;maq001;OP00123;2025-06-13 22:56:31;190.0;0;2025-06-13
166;maq001;OP00123;2025-06-13 22:56:32;397.9;0;2025-06-13
167;maq001;OP00123;2025-06-13 22:56:32;400.0;0;2025-06-13
168;maq001;OP00123;2025-06-13 22:56:33;399.9;0;2025-06-13
169;maq001;OP00123;2025-06-13 22:56:33;399.9;0;2025-06-13
170;maq001;OP00123;2025-06-13 22:56:34;399.9;0;2025-06-13
171;maq001;OP00123;2025-06-13 22:56:34;400.0;0;2025-06-13
172;maq001;OP00123;2025-06-13 22:56:35;399.9;0;2025-06-13
173;maq001;OP00123;2025-06-13 22:56:35;399.9;0;2025-06-13
174;maq001;OP00123;2025-06-13 22:56:36;390.9;0;2025-06-13
175;maq001;OP00123;2025-06-13 22:56:36;370.0;0;2025-06-13
176;maq001;OP00123;2025-06-13 22:56:37;399.9;0;2025-06-13
177;maq001;OP00123;2025-06-13 22:56:37;399.9;0;2025-06-13
178;maq001;OP00123;2025-06-13 22:56:38;399.9;0;2025-06-13
179;maq001;OP00123;2025-06-13 22:56:38;363.0;0;2025-06-13
180;maq001;OP00123;2025-06-13 22:56:39;215.0;0;2025-06-13
181;maq001;OP00123;2025-06-13 22:56:39;35.0;0;2025-06-13
182;maq001;OP00123;2025-06-13 22:56:40;14.0;0;2025-06-13
183;maq001;OP00123;2025-06-13 22:56:40;119.9;0;2025-06-13
184;maq001;OP00123;2025-06-13 22:56:41;222.0;0;2025-06-13
185;maq001;OP00123;2025-06-13 22:56:41;362.9;0;2025-06-13
186;maq001;OP00123;2025-06-13 22:56:42;399.9;0;2025-06-13
187;maq001;OP00123;2025-06-13 22:56:43;275.0;0;2025-06-13
188;maq001;OP00123;2025-06-13 22:56:43;175.9;0;2025-06-13
189;maq001;OP00123;2025-06-13 22:56:44;2.0;1;2025-06-13
190;maq001;OP00123;2025-06-13 22:56:44;161.9;1;2025-06-13
191;maq001;OP00123;2025-06-13 22:56:45;323.9;1;2025-06-13
192;maq001;OP00123;2025-06-13 22:56:45;399.9;1;2025-06-13
193;maq001;OP00123;2025-06-13 22:56:46;317.0;1;2025-06-13
194;maq001;OP00123;2025-06-13 22:56:46;225.0;1;2025-06-13
195;maq001;OP00123;2025-06-13 22:56:47;119.9;1;2025-06-13
196;maq001;OP00123;2025-06-13 22:56:47;2.0;2;2025-06-13
197;maq001;OP00123;2025-06-13 22:56:48;108.9;2;2025-06-13
198;maq001;OP00123;2025-06-13 22:56:48;204.0;2;2025-06-13
199;maq001;OP00123;2025-06-13 22:56:49;292.0;2;2025-06-13
200;maq001;OP00123;2025-06-13 22:56:49;399.9;2;2025-06-13
201;maq001;OP00123;2025-06-13 22:56:50;267.0;2;2025-06-13
202;maq001;OP00123;2025-06-13 22:56:50;148.0;2;2025-06-13
203;maq001;OP00123;2025-06-13 22:56:51;2.0;3;2025-06-13
204;maq001;OP00123;2025-06-13 22:56:51;28.0;3;2025-06-13
205;maq001;OP00123;2025-06-13 22:56:52;123.0;3;2025-06-13
206;maq001;OP00123;2025-06-13 22:56:52;275.0;3;2025-06-13
207;maq001;OP00123;2025-06-13 22:56:53;355.9;3;2025-06-13
208;maq001;OP00123;2025-06-13 22:56:53;372.9;3;2025-06-13
209;maq001;OP00123;2025-06-13 22:56:54;229.0;3;2025-06-13
210;maq001;OP00123;2025-06-13 22:56:54;105.0;3;2025-06-13
211;maq001;OP00123;2025-06-13 22:56:55;2.0;4;2025-06-13
212;maq001;OP00123;2025-06-13 22:56:55;101.9;4;2025-06-13
213;maq001;OP00123;2025-06-13 22:56:56;225.0;4;2025-06-13
214;maq001;OP00123;2025-06-13 22:56:56;344.9;4;2025-06-13
215;maq001;OP00123;2025-06-13 22:56:57;399.9;4;2025-06-13
216;maq001;OP00123;2025-06-13 22:56:57;299.0;4;2025-06-13
217;maq001;OP00123;2025-06-13 22:56:58;194.0;4;2025-06-13
218;maq001;OP00123;2025-06-13 22:56:58;91.0;4;2025-06-13
219;maq001;OP00123;2025-06-13 22:56:59;14.0;4;2025-06-13
220;maq001;OP00123;2025-06-13 22:56:59;155.0;4;2025-06-13
221;maq001;OP00123;2025-06-13 22:57:00;302.9;4;2025-06-13
222;maq001;OP00123;2025-06-13 22:57:00;399.9;4;2025-06-13
223;maq001;OP00123;2025-06-13 22:57:01;348.0;4;2025-06-13
224;maq001;OP00123;2025-06-13 22:57:02;185.9;4;2025-06-13
225;maq001;OP00123;2025-06-13 22:57:02;31.0;4;2025-06-13
226;maq001;OP00123;2025-06-13 22:57:03;7.0;5;2025-06-13
227;maq001;OP00123;2025-06-13 22:57:03;150.9;5;2025-06-13
228;maq001;OP00123;2025-06-13 22:57:04;245.9;5;2025-06-13
229;maq001;OP00123;2025-06-13 22:57:04;355.9;5;2025-06-13
230;maq001;OP00123;2025-06-13 22:57:05;399.9;5;2025-06-13
231;maq001;OP00123;2025-06-13 22:57:05;238.9;5;2025-06-13
232;maq001;OP00123;2025-06-13 22:57:06;116.0;5;2025-06-13
233;maq001;OP00123;2025-06-13 22:57:06;10.0;6;2025-06-13
234;maq001;OP00123;2025-06-13 22:57:07;35.0;6;2025-06-13
235;maq001;OP00123;2025-06-13 22:57:07;215.0;6;2025-06-13
236;maq001;OP00123;2025-06-13 22:57:08;366.0;6;2025-06-13
237;maq001;OP00123;2025-06-13 22:57:08;397.9;6;2025-06-13
238;maq001;OP00123;2025-06-13 22:57:09;250.0;6;2025-06-13
239;maq001;OP00123;2025-06-13 22:57:09;133.9;6;2025-06-13
